mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05339779853820801,0.015119772358829327,0.03757534027099609,0.011853900693608612,100.0,0.1,0.001,"{'svr__C': 100, 'svr__epsilon': 0.1, 'svr__gamma': 0.001}",-344.2522947608223,-592.8541703363786,-1916.5585257089203,-1563.152979476721,-524.6924902183206,-988.3020921002326,629.0034359986992,51
0.05671505928039551,0.014407593085692618,0.036688947677612306,0.012025371760851477,100.0,0.2,0.001,"{'svr__C': 100, 'svr__epsilon': 0.2, 'svr__gamma': 0.001}",-344.2522947608223,-592.8541703363786,-1916.5585257089203,-1563.152979476721,-524.6924902183206,-988.3020921002326,629.0034359986992,51
0.04324488639831543,0.0009983598397190969,0.028708600997924806,0.002776921299794511,100.0,0.5,0.001,"{'svr__C': 100, 'svr__epsilon': 0.5, 'svr__gamma': 0.001}",-344.2522947608223,-592.8711822640224,-1916.5585257089203,-1563.152979476721,-524.6924902183206,-988.3054944857615,629.0012969874559,54
0.05611100196838379,0.01771858127099877,0.03294014930725098,0.005194282298861465,100.0,1.0,0.001,"{'svr__C': 100, 'svr__epsilon': 1.0, 'svr__gamma': 0.001}",-344.2522947608223,-592.9067693211067,-1916.5585257089203,-1563.152979476721,-524.6924902183206,-988.3126118971783,628.996822628823,55
0.05084462165832519,0.015330844248853196,0.04058041572570801,0.011122564868345331,10.0,0.01,0.1,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 0.1}",-341.5961083423358,-584.5612889513053,-1916.6621883231976,-1582.5788395439192,-518.0007384861282,-988.6798327293773,635.2063028872296,56
0.04923653602600098,0.012047470033121307,0.03558826446533203,0.014661050180904522,10.0,0.1,0.1,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 0.1}",-341.5961083423358,-584.5629403896642,-1916.6621883231976,-1582.5788395439192,-518.0158630292286,-988.6831879256691,635.2038513654152,57
0.04748697280883789,0.004306972884678399,0.029735469818115236,0.00446195661783403,10.0,0.2,0.1,"{'svr__C': 10, 'svr__epsilon': 0.2, 'svr__gamma': 0.1}",-341.5961083423358,-584.5647768292588,-1916.6621883231976,-1582.5788395439192,-518.0326770877751,-988.6869180252974,635.2011259786996,58
0.07626962661743164,0.037943249729993064,0.05336837768554688,0.008992690121188225,10.0,0.5,0.1,"{'svr__C': 10, 'svr__epsilon': 0.5, 'svr__gamma': 0.1}",-341.5961083423358,-584.5702956726427,-1916.6621883231976,-1582.5788395439192,-518.0831196507204,-988.6981103065633,635.1929488880768,59
0.06261992454528809,0.0202566759208911,0.03477458953857422,0.006528700746436184,10.0,1.0,0.1,"{'svr__C': 10, 'svr__epsilon': 1.0, 'svr__gamma': 0.1}",-341.5961083423358,-584.5795254927156,-1916.6621883231976,-1582.570414671979,-518.1672517883391,-988.7150977237134,635.1777330629034,60
0.050777864456176755,0.008517123793689506,0.03583121299743652,0.010697325791176165,10.0,0.01,scale,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",-345.1301560185601,-593.2284790815863,-1917.4809798643023,-1573.1232448334067,-526.4341197816964,-991.0793959159104,630.6228574970146,61
0.0899960994720459,0.050785769676796357,0.029108095169067382,0.0019835293570173106,10.0,0.1,scale,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",-345.1301560185601,-593.231987987992,-1917.4809798643023,-1573.1232448334067,-526.4341197816964,-991.0800976971916,630.6224147546752,62
0.056965208053588866,0.01373836106379424,0.0376924991607666,0.005534541085962121,10.0,0.2,scale,"{'svr__C': 10, 'svr__epsilon': 0.2, 'svr__gamma': 'scale'}",-345.1301560185601,-593.2360004102699,-1917.4809798643023,-1573.1232448334067,-526.4341197816964,-991.0809001816472,630.6219084837968,63
0.05433783531188965,0.01318331861598653,0.04298090934753418,0.01543009292016838,10.0,0.5,scale,"{'svr__C': 10, 'svr__epsilon': 0.5, 'svr__gamma': 'scale'}",-345.1301560185601,-593.2479938482318,-1917.4809798643023,-1573.1232448334067,-526.4341197816964,-991.0832988692395,630.6203952232369,64
0.05659737586975098,0.013103346796673163,0.04429192543029785,0.017993812578488293,10.0,1.0,scale,"{'svr__C': 10, 'svr__epsilon': 1.0, 'svr__gamma': 'scale'}",-345.1301560185601,-593.2680209876544,-1917.4809798643023,-1573.1232448334067,-526.4341197816964,-991.087304297124,630.6178683913395,65
