mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.074296808242798,0.029843351529809086,0.16593022346496583,0.007207466058559756,,sqrt,4,2,500,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",-337.4835195527577,-487.7394822600926,-1618.1902469596084,-1169.0075953118464,-301.3470713829321,-782.7535830934473,522.3404177315712,251
0.2827620983123779,0.01645060610429328,0.0831766128540039,0.015805803872227953,,sqrt,4,5,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",-350.8514190024915,-516.9925893856912,-1619.4604438193046,-1126.2949676088595,-339.29485095650506,-790.5788541545704,504.30485057276104,296
0.6684449195861817,0.0390179931667327,0.12230968475341797,0.012613741915177721,,sqrt,4,5,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",-335.46422444402,-490.6228259165616,-1620.944819031944,-1162.0651768849327,-294.72375067748465,-780.7641593909887,523.4507256911793,238
1.0824963092803954,0.03284668564892475,0.17554354667663574,0.01982024552322423,,sqrt,4,5,500,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",-337.4835195527577,-487.7394822600926,-1618.1902469596084,-1169.0075953118464,-301.3470713829321,-782.7535830934473,522.3404177315712,251
0.3347193241119385,0.0669415530628942,0.0981722354888916,0.017549685663143286,,sqrt,4,10,100,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",-377.51358290709356,-497.47877863215405,-1625.3533831134082,-1145.9675521943373,-304.62667061892853,-790.1879934931843,512.9968760718964,293
0.7068703651428223,0.05383107181029352,0.13287692070007323,0.018177944858194538,,sqrt,4,10,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",-358.2594963287176,-492.2801599461514,-1625.6657114912512,-1176.4907687814823,-289.22823765579795,-788.3848748406801,524.1199435630014,276
1.1388148307800292,0.03252491522864548,0.1827395439147949,0.027697665661468952,,sqrt,4,10,500,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",-356.4462151119844,-486.31137223456886,-1621.9534640017885,-1177.1323621475563,-299.31619789661903,-788.2319222785034,522.1050971334755,273
0.2826530933380127,0.03605270434240729,0.08099431991577148,0.008377147534030729,,log2,1,2,100,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",-339.5590934115499,-496.7665004172907,-1331.8768165051501,-1024.8171010283845,-519.3675467043768,-742.4774116133505,374.0594587893351,125
0.7153429985046387,0.047916904476280144,0.11742000579833985,0.00727902086288801,,log2,1,2,300,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-336.86186882841616,-498.7295624299127,-1326.2749369544183,-1014.5192096772054,-433.3538440427218,-721.9478843865348,382.6782840991239,108
1.1351333141326905,0.030291943619030294,0.1707602024078369,0.013449067965251095,,log2,1,2,500,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",-336.822607649896,-478.8483845999933,-1334.3619610763994,-1013.5694097507638,-473.1242095191533,-727.3453145192412,381.9111207796703,115
0.299200439453125,0.03164529830973141,0.07567987442016602,0.011265964968077045,,log2,1,5,100,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",-335.5211879104473,-477.346833674337,-1482.5148820246923,-1094.2366158278412,-461.41507267473736,-770.206918422411,443.27169938120505,197
0.6830337524414063,0.037467926737418215,0.12316527366638183,0.011844932679491736,,log2,1,5,300,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",-339.59021560422167,-483.8055916310843,-1472.6757824287547,-1062.0993375456542,-482.309539574784,-768.0960933568997,431.04124554591556,176
1.0717621803283692,0.03952108997537222,0.16507983207702637,0.012162690825933535,,log2,1,5,500,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",-345.0375128806449,-475.88414290229684,-1478.7103586977103,-1073.7012078525115,-500.7119548263698,-774.8090354319068,432.2042263088145,224
